starttime	seconds	ctime	dtime	ttime	wait
Tue Nov 20 08:46:15 2012	1353368775	0	15	15	15
Tue Nov 20 08:46:15 2012	1353368775	0	15	16	15
Tue Nov 20 08:46:15 2012	1353368775	0	16	16	16
Tue Nov 20 08:46:15 2012	1353368775	0	16	16	16
Tue Nov 20 08:46:15 2012	1353368775	0	16	17	16
Tue Nov 20 08:46:15 2012	1353368775	0	16	17	16
Tue Nov 20 08:46:15 2012	1353368775	1	17	17	17
Tue Nov 20 08:46:15 2012	1353368775	1	17	18	17
Tue Nov 20 08:46:15 2012	1353368775	1	17	18	17
Tue Nov 20 08:46:15 2012	1353368775	1	18	18	18
Tue Nov 20 08:46:15 2012	1353368775	1	18	19	18
Tue Nov 20 08:46:15 2012	1353368775	1	18	19	18
Tue Nov 20 08:46:15 2012	1353368775	1	19	19	19
Tue Nov 20 08:46:15 2012	1353368775	1	19	20	19
Tue Nov 20 08:46:15 2012	1353368775	1	21	22	21
Tue Nov 20 08:46:15 2012	1353368775	1	21	22	21
Tue Nov 20 08:46:15 2012	1353368775	1	22	23	22
Tue Nov 20 08:46:15 2012	1353368775	1	22	23	22
Tue Nov 20 08:46:15 2012	1353368775	1	22	23	22
Tue Nov 20 08:46:15 2012	1353368775	1	23	24	23
Tue Nov 20 08:46:15 2012	1353368775	0	31	31	31
Tue Nov 20 08:46:15 2012	1353368775	0	31	31	31
Tue Nov 20 08:46:15 2012	1353368775	0	31	31	31
Tue Nov 20 08:46:15 2012	1353368775	0	31	31	31
Tue Nov 20 08:46:15 2012	1353368775	0	31	31	31
Tue Nov 20 08:46:15 2012	1353368775	0	31	31	31
Tue Nov 20 08:46:15 2012	1353368775	0	31	31	31
Tue Nov 20 08:46:15 2012	1353368775	0	31	31	31
Tue Nov 20 08:46:15 2012	1353368775	0	31	31	31
Tue Nov 20 08:46:15 2012	1353368775	0	31	31	31
Tue Nov 20 08:46:15 2012	1353368775	0	31	31	31
Tue Nov 20 08:46:15 2012	1353368775	0	31	31	31
Tue Nov 20 08:46:15 2012	1353368775	0	31	31	31
Tue Nov 20 08:46:15 2012	1353368775	0	31	31	31
Tue Nov 20 08:46:15 2012	1353368775	0	31	31	31
Tue Nov 20 08:46:15 2012	1353368775	0	31	31	31
Tue Nov 20 08:46:15 2012	1353368775	0	31	31	31
Tue Nov 20 08:46:15 2012	1353368775	0	31	31	31
Tue Nov 20 08:46:15 2012	1353368775	0	31	31	31
Tue Nov 20 08:46:15 2012	1353368775	0	31	31	31
Tue Nov 20 08:46:15 2012	1353368775	0	31	31	31
Tue Nov 20 08:46:15 2012	1353368775	0	31	31	31
Tue Nov 20 08:46:15 2012	1353368775	0	31	31	31
Tue Nov 20 08:46:15 2012	1353368775	0	32	32	32
Tue Nov 20 08:46:15 2012	1353368775	0	32	32	32
Tue Nov 20 08:46:15 2012	1353368775	0	32	32	32
Tue Nov 20 08:46:15 2012	1353368775	0	32	32	32
Tue Nov 20 08:46:15 2012	1353368775	0	32	32	32
Tue Nov 20 08:46:15 2012	1353368775	0	32	32	32
Tue Nov 20 08:46:15 2012	1353368775	0	32	32	32
Tue Nov 20 08:46:15 2012	1353368775	0	32	32	32
Tue Nov 20 08:46:15 2012	1353368775	0	32	32	32
Tue Nov 20 08:46:15 2012	1353368775	0	32	32	32
Tue Nov 20 08:46:15 2012	1353368775	0	32	32	32
Tue Nov 20 08:46:15 2012	1353368775	0	32	32	32
Tue Nov 20 08:46:15 2012	1353368775	0	32	32	32
Tue Nov 20 08:46:15 2012	1353368775	0	32	32	32
Tue Nov 20 08:46:15 2012	1353368775	0	32	32	32
Tue Nov 20 08:46:15 2012	1353368775	0	32	32	32
Tue Nov 20 08:46:15 2012	1353368775	0	32	32	32
Tue Nov 20 08:46:15 2012	1353368775	0	32	32	32
Tue Nov 20 08:46:15 2012	1353368775	0	32	32	32
Tue Nov 20 08:46:15 2012	1353368775	0	32	32	32
Tue Nov 20 08:46:15 2012	1353368775	0	32	32	32
Tue Nov 20 08:46:15 2012	1353368775	0	32	32	32
Tue Nov 20 08:46:15 2012	1353368775	0	32	32	32
Tue Nov 20 08:46:15 2012	1353368775	0	33	33	33
Tue Nov 20 08:46:15 2012	1353368775	0	33	33	33
Tue Nov 20 08:46:15 2012	1353368775	0	33	33	33
Tue Nov 20 08:46:15 2012	1353368775	0	33	33	33
Tue Nov 20 08:46:15 2012	1353368775	0	33	33	33
Tue Nov 20 08:46:15 2012	1353368775	0	33	33	33
Tue Nov 20 08:46:15 2012	1353368775	0	33	33	33
Tue Nov 20 08:46:15 2012	1353368775	0	33	33	33
Tue Nov 20 08:46:15 2012	1353368775	0	33	33	33
Tue Nov 20 08:46:15 2012	1353368775	0	33	33	33
Tue Nov 20 08:46:15 2012	1353368775	0	33	33	33
Tue Nov 20 08:46:15 2012	1353368775	0	33	33	33
Tue Nov 20 08:46:15 2012	1353368775	0	33	33	33
Tue Nov 20 08:46:15 2012	1353368775	0	33	33	33
Tue Nov 20 08:46:15 2012	1353368775	0	38	38	38
Tue Nov 20 08:46:15 2012	1353368775	0	38	38	38
Tue Nov 20 08:46:15 2012	1353368775	0	38	38	38
Tue Nov 20 08:46:15 2012	1353368775	0	38	38	38
Tue Nov 20 08:46:15 2012	1353368775	0	38	38	38
Tue Nov 20 08:46:15 2012	1353368775	0	38	38	38
Tue Nov 20 08:46:15 2012	1353368775	0	39	39	39
Tue Nov 20 08:46:15 2012	1353368775	0	39	39	39
Tue Nov 20 08:46:15 2012	1353368775	0	39	39	39
Tue Nov 20 08:46:15 2012	1353368775	0	39	39	39
Tue Nov 20 08:46:15 2012	1353368775	0	39	39	39
Tue Nov 20 08:46:15 2012	1353368775	0	39	39	39
Tue Nov 20 08:46:15 2012	1353368775	0	39	39	39
Tue Nov 20 08:46:15 2012	1353368775	0	39	39	39
Tue Nov 20 08:46:15 2012	1353368775	0	39	39	39
Tue Nov 20 08:46:15 2012	1353368775	0	39	39	39
Tue Nov 20 08:46:15 2012	1353368775	0	39	39	39
Tue Nov 20 08:46:15 2012	1353368775	0	39	39	39
Tue Nov 20 08:46:15 2012	1353368775	0	39	39	39
Tue Nov 20 08:46:15 2012	1353368775	0	39	39	39
Tue Nov 20 08:46:23 2012	1353368783	0	40	40	40
Tue Nov 20 08:46:23 2012	1353368783	0	40	40	40
Tue Nov 20 08:46:23 2012	1353368783	0	40	40	40
Tue Nov 20 08:46:23 2012	1353368783	0	40	40	40
Tue Nov 20 08:46:23 2012	1353368783	0	41	41	41
Tue Nov 20 08:46:23 2012	1353368783	0	41	41	41
Tue Nov 20 08:46:23 2012	1353368783	0	41	41	41
Tue Nov 20 08:46:23 2012	1353368783	0	41	41	41
Tue Nov 20 08:46:23 2012	1353368783	0	41	41	41
Tue Nov 20 08:46:23 2012	1353368783	0	41	41	41
Tue Nov 20 08:46:23 2012	1353368783	0	41	41	41
Tue Nov 20 08:46:23 2012	1353368783	0	41	41	41
Tue Nov 20 08:46:23 2012	1353368783	0	41	41	41
Tue Nov 20 08:46:23 2012	1353368783	0	41	41	41
Tue Nov 20 08:46:23 2012	1353368783	0	41	41	41
Tue Nov 20 08:46:23 2012	1353368783	0	41	41	41
Tue Nov 20 08:46:23 2012	1353368783	0	41	41	41
Tue Nov 20 08:46:23 2012	1353368783	0	41	41	41
Tue Nov 20 08:46:23 2012	1353368783	0	41	41	41
Tue Nov 20 08:46:23 2012	1353368783	0	41	41	41
Tue Nov 20 08:46:23 2012	1353368783	0	41	41	41
Tue Nov 20 08:46:23 2012	1353368783	0	41	41	41
Tue Nov 20 08:46:23 2012	1353368783	0	41	41	41
Tue Nov 20 08:46:23 2012	1353368783	0	41	41	41
Tue Nov 20 08:46:19 2012	1353368779	0	41	41	41
Tue Nov 20 08:46:19 2012	1353368779	0	41	41	41
Tue Nov 20 08:46:19 2012	1353368779	0	41	41	41
Tue Nov 20 08:46:19 2012	1353368779	0	41	41	41
Tue Nov 20 08:46:19 2012	1353368779	0	41	41	41
Tue Nov 20 08:46:19 2012	1353368779	0	41	41	41
Tue Nov 20 08:46:19 2012	1353368779	0	41	41	41
Tue Nov 20 08:46:19 2012	1353368779	0	41	41	41
Tue Nov 20 08:46:19 2012	1353368779	0	41	41	41
Tue Nov 20 08:46:19 2012	1353368779	0	41	41	41
Tue Nov 20 08:46:19 2012	1353368779	0	41	41	41
Tue Nov 20 08:46:19 2012	1353368779	0	41	41	41
Tue Nov 20 08:46:19 2012	1353368779	0	41	41	41
Tue Nov 20 08:46:19 2012	1353368779	0	41	41	41
Tue Nov 20 08:46:19 2012	1353368779	0	41	41	41
Tue Nov 20 08:46:19 2012	1353368779	0	41	41	41
Tue Nov 20 08:46:19 2012	1353368779	0	41	41	41
Tue Nov 20 08:46:19 2012	1353368779	0	41	41	41
Tue Nov 20 08:46:19 2012	1353368779	0	41	41	41
Tue Nov 20 08:46:19 2012	1353368779	0	41	41	41
Tue Nov 20 08:46:18 2012	1353368778	0	41	41	41
Tue Nov 20 08:46:18 2012	1353368778	0	41	41	41
Tue Nov 20 08:46:18 2012	1353368778	0	41	41	41
Tue Nov 20 08:46:18 2012	1353368778	0	41	41	41
Tue Nov 20 08:46:18 2012	1353368778	0	41	41	41
Tue Nov 20 08:46:18 2012	1353368778	0	41	41	41
Tue Nov 20 08:46:18 2012	1353368778	0	41	41	41
Tue Nov 20 08:46:18 2012	1353368778	0	41	41	41
Tue Nov 20 08:46:18 2012	1353368778	0	41	41	41
Tue Nov 20 08:46:18 2012	1353368778	0	41	41	41
Tue Nov 20 08:46:18 2012	1353368778	0	41	41	41
Tue Nov 20 08:46:18 2012	1353368778	0	41	41	41
Tue Nov 20 08:46:18 2012	1353368778	0	41	41	41
Tue Nov 20 08:46:18 2012	1353368778	0	41	41	41
Tue Nov 20 08:46:18 2012	1353368778	0	41	41	41
Tue Nov 20 08:46:18 2012	1353368778	0	41	41	41
Tue Nov 20 08:46:18 2012	1353368778	0	41	41	41
Tue Nov 20 08:46:18 2012	1353368778	0	41	41	41
Tue Nov 20 08:46:18 2012	1353368778	0	41	41	41
Tue Nov 20 08:46:18 2012	1353368778	0	41	41	41
Tue Nov 20 08:46:22 2012	1353368782	0	42	42	42
Tue Nov 20 08:46:22 2012	1353368782	0	42	42	42
Tue Nov 20 08:46:19 2012	1353368779	0	42	42	42
Tue Nov 20 08:46:23 2012	1353368783	0	42	42	42
Tue Nov 20 08:46:22 2012	1353368782	0	42	42	42
Tue Nov 20 08:46:23 2012	1353368783	0	42	42	42
Tue Nov 20 08:46:18 2012	1353368778	0	42	42	42
Tue Nov 20 08:46:23 2012	1353368783	0	42	42	42
Tue Nov 20 08:46:19 2012	1353368779	0	42	42	42
Tue Nov 20 08:46:22 2012	1353368782	0	42	42	42
Tue Nov 20 08:46:23 2012	1353368783	0	42	42	42
Tue Nov 20 08:46:18 2012	1353368778	0	42	42	42
Tue Nov 20 08:46:19 2012	1353368779	0	42	42	42
Tue Nov 20 08:46:22 2012	1353368782	0	42	42	42
Tue Nov 20 08:46:18 2012	1353368778	0	42	42	42
Tue Nov 20 08:46:23 2012	1353368783	0	42	42	42
Tue Nov 20 08:46:19 2012	1353368779	0	42	42	42
Tue Nov 20 08:46:22 2012	1353368782	0	42	42	42
Tue Nov 20 08:46:23 2012	1353368783	0	42	42	42
Tue Nov 20 08:46:19 2012	1353368779	0	42	42	42
Tue Nov 20 08:46:18 2012	1353368778	0	42	42	42
Tue Nov 20 08:46:20 2012	1353368780	0	42	42	42
Tue Nov 20 08:46:22 2012	1353368782	0	42	42	42
Tue Nov 20 08:46:20 2012	1353368780	0	42	42	42
Tue Nov 20 08:46:19 2012	1353368779	0	42	42	42
Tue Nov 20 08:46:18 2012	1353368778	0	42	42	42
Tue Nov 20 08:46:23 2012	1353368783	0	42	42	42
Tue Nov 20 08:46:22 2012	1353368782	0	42	42	42
Tue Nov 20 08:46:23 2012	1353368783	0	42	42	42
Tue Nov 20 08:46:19 2012	1353368779	0	42	42	42
Tue Nov 20 08:46:20 2012	1353368780	0	42	42	42
Tue Nov 20 08:46:18 2012	1353368778	0	42	42	42
Tue Nov 20 08:46:20 2012	1353368780	0	42	42	42
Tue Nov 20 08:46:22 2012	1353368782	0	42	42	42
Tue Nov 20 08:46:23 2012	1353368783	0	42	42	42
Tue Nov 20 08:46:20 2012	1353368780	0	42	42	42
Tue Nov 20 08:46:19 2012	1353368779	0	42	42	42
Tue Nov 20 08:46:18 2012	1353368778	0	42	42	42
Tue Nov 20 08:46:23 2012	1353368783	0	42	42	42
Tue Nov 20 08:46:22 2012	1353368782	0	42	42	42
Tue Nov 20 08:46:20 2012	1353368780	0	42	42	42
Tue Nov 20 08:46:20 2012	1353368780	0	42	42	42
Tue Nov 20 08:46:20 2012	1353368780	0	42	42	42
Tue Nov 20 08:46:20 2012	1353368780	0	42	42	42
Tue Nov 20 08:46:19 2012	1353368779	0	42	42	42
Tue Nov 20 08:46:20 2012	1353368780	0	42	42	42
Tue Nov 20 08:46:20 2012	1353368780	0	42	42	42
Tue Nov 20 08:46:20 2012	1353368780	0	42	42	42
Tue Nov 20 08:46:20 2012	1353368780	0	42	42	42
Tue Nov 20 08:46:20 2012	1353368780	0	42	42	42
Tue Nov 20 08:46:23 2012	1353368783	0	42	42	42
Tue Nov 20 08:46:20 2012	1353368780	0	42	42	42
Tue Nov 20 08:46:24 2012	1353368784	0	42	42	42
Tue Nov 20 08:46:20 2012	1353368780	0	42	42	42
Tue Nov 20 08:46:20 2012	1353368780	0	42	42	42
Tue Nov 20 08:46:23 2012	1353368783	0	42	42	42
Tue Nov 20 08:46:20 2012	1353368780	0	42	42	42
Tue Nov 20 08:46:20 2012	1353368780	0	42	42	42
Tue Nov 20 08:46:20 2012	1353368780	0	42	42	42
Tue Nov 20 08:46:20 2012	1353368780	0	42	42	42
Tue Nov 20 08:46:22 2012	1353368782	0	42	42	42
Tue Nov 20 08:46:23 2012	1353368783	0	42	42	42
Tue Nov 20 08:46:20 2012	1353368780	0	42	42	42
Tue Nov 20 08:46:18 2012	1353368778	0	42	42	42
Tue Nov 20 08:46:19 2012	1353368779	0	42	42	42
Tue Nov 20 08:46:19 2012	1353368779	0	42	42	42
Tue Nov 20 08:46:20 2012	1353368780	0	42	42	42
Tue Nov 20 08:46:24 2012	1353368784	0	42	42	42
Tue Nov 20 08:46:20 2012	1353368780	0	42	42	42
Tue Nov 20 08:46:19 2012	1353368779	0	42	42	42
Tue Nov 20 08:46:20 2012	1353368780	0	42	42	42
Tue Nov 20 08:46:20 2012	1353368780	0	42	42	42
Tue Nov 20 08:46:23 2012	1353368783	0	42	42	42
Tue Nov 20 08:46:19 2012	1353368779	0	42	42	42
Tue Nov 20 08:46:22 2012	1353368782	0	42	42	42
Tue Nov 20 08:46:19 2012	1353368779	0	42	42	42
Tue Nov 20 08:46:24 2012	1353368784	0	42	42	42
Tue Nov 20 08:46:19 2012	1353368779	0	42	42	42
Tue Nov 20 08:46:23 2012	1353368783	0	42	42	42
Tue Nov 20 08:46:19 2012	1353368779	0	42	42	42
Tue Nov 20 08:46:19 2012	1353368779	0	42	42	42
Tue Nov 20 08:46:19 2012	1353368779	0	42	42	42
Tue Nov 20 08:46:19 2012	1353368779	0	42	42	42
Tue Nov 20 08:46:19 2012	1353368779	0	42	42	42
Tue Nov 20 08:46:18 2012	1353368778	0	42	42	42
Tue Nov 20 08:46:19 2012	1353368779	0	42	42	42
Tue Nov 20 08:46:19 2012	1353368779	0	42	42	42
Tue Nov 20 08:46:19 2012	1353368779	0	42	42	42
Tue Nov 20 08:46:19 2012	1353368779	0	42	42	42
Tue Nov 20 08:46:20 2012	1353368780	0	42	42	42
Tue Nov 20 08:46:19 2012	1353368779	0	42	42	42
Tue Nov 20 08:46:22 2012	1353368782	0	42	42	42
Tue Nov 20 08:46:24 2012	1353368784	0	42	42	42
Tue Nov 20 08:46:23 2012	1353368783	0	42	42	42
Tue Nov 20 08:46:19 2012	1353368779	0	42	42	42
Tue Nov 20 08:46:23 2012	1353368783	0	42	42	42
Tue Nov 20 08:46:23 2012	1353368783	0	42	42	42
Tue Nov 20 08:46:24 2012	1353368784	0	42	42	42
Tue Nov 20 08:46:19 2012	1353368779	0	42	42	42
Tue Nov 20 08:46:18 2012	1353368778	0	42	42	42
Tue Nov 20 08:46:20 2012	1353368780	0	42	42	42
Tue Nov 20 08:46:19 2012	1353368779	0	42	42	42
Tue Nov 20 08:46:18 2012	1353368778	0	42	42	42
Tue Nov 20 08:46:22 2012	1353368782	0	42	42	42
Tue Nov 20 08:46:23 2012	1353368783	0	42	42	42
Tue Nov 20 08:46:19 2012	1353368779	0	42	42	42
Tue Nov 20 08:46:18 2012	1353368778	0	42	42	42
Tue Nov 20 08:46:19 2012	1353368779	0	42	42	42
Tue Nov 20 08:46:20 2012	1353368780	0	42	42	42
Tue Nov 20 08:46:23 2012	1353368783	0	42	42	42
Tue Nov 20 08:46:19 2012	1353368779	0	42	42	42
Tue Nov 20 08:46:18 2012	1353368778	0	42	42	42
Tue Nov 20 08:46:19 2012	1353368779	0	42	42	42
Tue Nov 20 08:46:18 2012	1353368778	0	42	42	42
Tue Nov 20 08:46:22 2012	1353368782	0	42	42	42
Tue Nov 20 08:46:23 2012	1353368783	0	42	42	42
Tue Nov 20 08:46:19 2012	1353368779	0	42	42	42
Tue Nov 20 08:46:24 2012	1353368784	0	42	42	42
Tue Nov 20 08:46:18 2012	1353368778	0	42	42	42
Tue Nov 20 08:46:20 2012	1353368780	0	42	42	42
Tue Nov 20 08:46:23 2012	1353368783	0	42	42	42
Tue Nov 20 08:46:19 2012	1353368779	0	42	42	42
Tue Nov 20 08:46:18 2012	1353368778	0	42	42	42
Tue Nov 20 08:46:22 2012	1353368782	0	42	42	42
Tue Nov 20 08:46:20 2012	1353368780	0	42	42	42
Tue Nov 20 08:46:19 2012	1353368779	0	42	42	42
Tue Nov 20 08:46:24 2012	1353368784	0	42	42	42
Tue Nov 20 08:46:18 2012	1353368778	0	42	42	42
Tue Nov 20 08:46:19 2012	1353368779	0	42	42	42
Tue Nov 20 08:46:23 2012	1353368783	0	42	42	42
Tue Nov 20 08:46:23 2012	1353368783	0	42	42	42
Tue Nov 20 08:46:18 2012	1353368778	0	42	42	42
Tue Nov 20 08:46:22 2012	1353368782	0	42	42	42
Tue Nov 20 08:46:22 2012	1353368782	0	42	42	42
Tue Nov 20 08:46:20 2012	1353368780	0	42	42	42
Tue Nov 20 08:46:22 2012	1353368782	0	42	42	42
Tue Nov 20 08:46:24 2012	1353368784	0	42	42	42
Tue Nov 20 08:46:18 2012	1353368778	0	42	42	42
Tue Nov 20 08:46:18 2012	1353368778	0	42	42	42
Tue Nov 20 08:46:22 2012	1353368782	0	42	42	42
Tue Nov 20 08:46:23 2012	1353368783	0	42	42	42
Tue Nov 20 08:46:19 2012	1353368779	0	42	42	42
Tue Nov 20 08:46:23 2012	1353368783	0	42	42	42
Tue Nov 20 08:46:23 2012	1353368783	0	42	42	42
Tue Nov 20 08:46:23 2012	1353368783	0	42	42	42
Tue Nov 20 08:46:23 2012	1353368783	0	42	42	42
Tue Nov 20 08:46:23 2012	1353368783	0	42	42	42
Tue Nov 20 08:46:22 2012	1353368782	0	42	42	42
Tue Nov 20 08:46:23 2012	1353368783	0	42	42	42
Tue Nov 20 08:46:23 2012	1353368783	0	42	42	42
Tue Nov 20 08:46:22 2012	1353368782	0	42	42	42
Tue Nov 20 08:46:22 2012	1353368782	0	42	42	42
Tue Nov 20 08:46:23 2012	1353368783	0	42	42	42
Tue Nov 20 08:46:23 2012	1353368783	0	42	42	42
Tue Nov 20 08:46:18 2012	1353368778	0	42	42	42
Tue Nov 20 08:46:18 2012	1353368778	0	42	42	42
Tue Nov 20 08:46:23 2012	1353368783	0	42	42	42
Tue Nov 20 08:46:23 2012	1353368783	0	42	42	42
Tue Nov 20 08:46:23 2012	1353368783	0	42	42	42
Tue Nov 20 08:46:23 2012	1353368783	0	42	42	42
