starttime	seconds	ctime	dtime	ttime	wait
Tue Nov 20 08:45:59 2012	1353368759	0	2	2	2
Tue Nov 20 08:45:59 2012	1353368759	0	3	3	3
Tue Nov 20 08:45:59 2012	1353368759	0	3	3	3
Tue Nov 20 08:45:58 2012	1353368758	0	3	3	3
Tue Nov 20 08:45:58 2012	1353368758	0	3	3	3
Tue Nov 20 08:45:58 2012	1353368758	0	3	3	3
Tue Nov 20 08:45:58 2012	1353368758	0	3	3	3
Tue Nov 20 08:45:58 2012	1353368758	0	3	3	3
Tue Nov 20 08:45:58 2012	1353368758	0	3	3	3
Tue Nov 20 08:45:56 2012	1353368756	0	3	3	3
Tue Nov 20 08:45:59 2012	1353368759	0	3	3	3
Tue Nov 20 08:45:58 2012	1353368758	0	3	3	3
Tue Nov 20 08:45:59 2012	1353368759	0	3	3	3
Tue Nov 20 08:45:59 2012	1353368759	0	3	3	3
Tue Nov 20 08:45:59 2012	1353368759	0	3	3	3
Tue Nov 20 08:45:59 2012	1353368759	0	3	3	3
Tue Nov 20 08:45:59 2012	1353368759	0	3	3	3
Tue Nov 20 08:45:58 2012	1353368758	0	3	3	3
Tue Nov 20 08:45:59 2012	1353368759	0	3	3	3
Tue Nov 20 08:45:59 2012	1353368759	0	3	3	3
Tue Nov 20 08:45:59 2012	1353368759	0	3	3	3
Tue Nov 20 08:45:59 2012	1353368759	0	3	3	3
Tue Nov 20 08:45:59 2012	1353368759	0	3	3	3
Tue Nov 20 08:45:59 2012	1353368759	0	3	3	3
Tue Nov 20 08:45:59 2012	1353368759	0	3	3	3
Tue Nov 20 08:45:58 2012	1353368758	0	3	3	3
Tue Nov 20 08:45:59 2012	1353368759	0	3	3	3
Tue Nov 20 08:45:59 2012	1353368759	0	3	3	3
Tue Nov 20 08:45:58 2012	1353368758	0	3	3	3
Tue Nov 20 08:45:57 2012	1353368757	0	3	3	3
Tue Nov 20 08:45:59 2012	1353368759	0	3	3	3
Tue Nov 20 08:45:59 2012	1353368759	0	4	4	3
Tue Nov 20 08:45:59 2012	1353368759	0	4	4	4
Tue Nov 20 08:45:59 2012	1353368759	0	4	4	4
Tue Nov 20 08:45:59 2012	1353368759	0	4	4	4
Tue Nov 20 08:45:57 2012	1353368757	0	4	4	4
Tue Nov 20 08:45:59 2012	1353368759	0	4	4	4
Tue Nov 20 08:45:59 2012	1353368759	0	4	4	4
Tue Nov 20 08:45:58 2012	1353368758	0	4	4	3
Tue Nov 20 08:45:57 2012	1353368757	0	4	4	4
Tue Nov 20 08:45:57 2012	1353368757	0	4	4	4
Tue Nov 20 08:45:59 2012	1353368759	0	4	4	4
Tue Nov 20 08:45:59 2012	1353368759	0	4	4	4
Tue Nov 20 08:45:59 2012	1353368759	0	4	4	4
Tue Nov 20 08:45:57 2012	1353368757	0	4	4	4
Tue Nov 20 08:45:59 2012	1353368759	0	4	4	4
Tue Nov 20 08:45:57 2012	1353368757	0	4	4	4
Tue Nov 20 08:45:57 2012	1353368757	0	4	4	4
Tue Nov 20 08:45:58 2012	1353368758	0	4	4	4
Tue Nov 20 08:45:58 2012	1353368758	0	4	4	4
Tue Nov 20 08:45:58 2012	1353368758	0	4	4	4
Tue Nov 20 08:45:57 2012	1353368757	0	4	4	4
Tue Nov 20 08:45:59 2012	1353368759	0	4	4	4
Tue Nov 20 08:45:57 2012	1353368757	0	4	4	4
Tue Nov 20 08:45:59 2012	1353368759	0	4	4	4
Tue Nov 20 08:45:59 2012	1353368759	0	4	4	4
Tue Nov 20 08:45:58 2012	1353368758	0	4	4	4
Tue Nov 20 08:45:59 2012	1353368759	0	4	4	4
Tue Nov 20 08:45:59 2012	1353368759	0	4	4	4
Tue Nov 20 08:45:59 2012	1353368759	0	4	4	4
Tue Nov 20 08:45:59 2012	1353368759	0	4	4	4
Tue Nov 20 08:45:59 2012	1353368759	0	4	4	4
Tue Nov 20 08:45:59 2012	1353368759	0	4	4	4
Tue Nov 20 08:45:58 2012	1353368758	0	4	4	4
Tue Nov 20 08:45:57 2012	1353368757	0	4	4	4
Tue Nov 20 08:45:59 2012	1353368759	0	4	4	4
Tue Nov 20 08:45:59 2012	1353368759	0	4	4	4
Tue Nov 20 08:45:58 2012	1353368758	0	4	4	4
Tue Nov 20 08:45:57 2012	1353368757	0	4	4	4
Tue Nov 20 08:45:59 2012	1353368759	0	4	4	4
Tue Nov 20 08:45:59 2012	1353368759	0	4	4	4
Tue Nov 20 08:45:59 2012	1353368759	0	4	4	4
Tue Nov 20 08:45:57 2012	1353368757	0	4	4	4
Tue Nov 20 08:45:58 2012	1353368758	0	4	4	4
Tue Nov 20 08:45:57 2012	1353368757	0	4	4	4
Tue Nov 20 08:45:59 2012	1353368759	0	4	4	4
Tue Nov 20 08:45:57 2012	1353368757	0	4	4	4
Tue Nov 20 08:45:59 2012	1353368759	0	4	4	4
Tue Nov 20 08:45:58 2012	1353368758	0	4	4	4
Tue Nov 20 08:45:59 2012	1353368759	0	4	4	4
Tue Nov 20 08:45:59 2012	1353368759	0	4	4	4
Tue Nov 20 08:45:59 2012	1353368759	0	4	4	4
Tue Nov 20 08:45:59 2012	1353368759	0	4	4	4
Tue Nov 20 08:45:59 2012	1353368759	0	4	4	4
Tue Nov 20 08:45:59 2012	1353368759	0	4	4	4
Tue Nov 20 08:45:58 2012	1353368758	0	4	4	4
Tue Nov 20 08:45:59 2012	1353368759	0	4	4	4
Tue Nov 20 08:45:58 2012	1353368758	0	4	4	4
Tue Nov 20 08:45:58 2012	1353368758	0	4	4	4
Tue Nov 20 08:45:57 2012	1353368757	0	4	4	4
Tue Nov 20 08:45:57 2012	1353368757	0	4	4	4
Tue Nov 20 08:45:56 2012	1353368756	0	4	4	4
Tue Nov 20 08:45:59 2012	1353368759	0	4	4	4
Tue Nov 20 08:45:58 2012	1353368758	0	4	4	4
Tue Nov 20 08:45:59 2012	1353368759	0	4	4	4
Tue Nov 20 08:45:58 2012	1353368758	0	4	4	4
Tue Nov 20 08:45:59 2012	1353368759	0	4	4	4
Tue Nov 20 08:45:58 2012	1353368758	0	4	4	4
Tue Nov 20 08:45:56 2012	1353368756	0	4	4	4
Tue Nov 20 08:45:59 2012	1353368759	0	4	4	4
Tue Nov 20 08:45:58 2012	1353368758	0	4	4	4
Tue Nov 20 08:45:58 2012	1353368758	0	4	4	4
Tue Nov 20 08:45:58 2012	1353368758	0	4	4	4
Tue Nov 20 08:45:57 2012	1353368757	0	4	4	4
Tue Nov 20 08:45:58 2012	1353368758	0	4	4	4
Tue Nov 20 08:45:56 2012	1353368756	0	4	4	4
Tue Nov 20 08:45:57 2012	1353368757	0	4	4	4
Tue Nov 20 08:45:58 2012	1353368758	0	4	4	4
Tue Nov 20 08:45:58 2012	1353368758	0	4	4	4
Tue Nov 20 08:45:58 2012	1353368758	0	4	4	4
Tue Nov 20 08:45:59 2012	1353368759	0	4	4	4
Tue Nov 20 08:45:59 2012	1353368759	0	4	4	4
Tue Nov 20 08:45:56 2012	1353368756	0	4	4	4
Tue Nov 20 08:45:59 2012	1353368759	0	4	4	4
Tue Nov 20 08:45:59 2012	1353368759	0	4	4	4
Tue Nov 20 08:45:58 2012	1353368758	0	4	4	4
Tue Nov 20 08:45:57 2012	1353368757	0	4	4	4
Tue Nov 20 08:45:59 2012	1353368759	0	4	4	4
Tue Nov 20 08:45:58 2012	1353368758	0	4	4	4
Tue Nov 20 08:45:58 2012	1353368758	0	4	4	4
Tue Nov 20 08:45:58 2012	1353368758	0	4	4	4
Tue Nov 20 08:45:57 2012	1353368757	0	4	4	4
Tue Nov 20 08:45:59 2012	1353368759	0	4	4	4
Tue Nov 20 08:45:59 2012	1353368759	0	4	4	4
Tue Nov 20 08:45:56 2012	1353368756	0	4	4	4
Tue Nov 20 08:45:59 2012	1353368759	0	4	4	4
Tue Nov 20 08:45:57 2012	1353368757	0	4	4	4
Tue Nov 20 08:45:58 2012	1353368758	0	4	4	4
Tue Nov 20 08:45:58 2012	1353368758	0	4	4	4
Tue Nov 20 08:45:57 2012	1353368757	0	4	4	4
Tue Nov 20 08:45:59 2012	1353368759	0	4	4	4
Tue Nov 20 08:45:59 2012	1353368759	0	4	4	4
Tue Nov 20 08:45:57 2012	1353368757	0	4	4	4
Tue Nov 20 08:45:59 2012	1353368759	0	4	4	4
