starttime	seconds	ctime	dtime	ttime	wait
Tue Nov 20 08:47:11 2012	1353368831	0	22	22	22
Tue Nov 20 08:47:12 2012	1353368832	0	22	22	22
Tue Nov 20 08:47:11 2012	1353368831	0	22	22	22
Tue Nov 20 08:47:12 2012	1353368832	0	23	23	22
Tue Nov 20 08:47:10 2012	1353368830	0	23	23	23
Tue Nov 20 08:47:10 2012	1353368830	0	23	23	23
Tue Nov 20 08:47:11 2012	1353368831	0	23	23	23
Tue Nov 20 08:47:11 2012	1353368831	0	23	23	23
Tue Nov 20 08:47:10 2012	1353368830	0	23	23	23
Tue Nov 20 08:47:10 2012	1353368830	0	24	24	24
Tue Nov 20 08:47:11 2012	1353368831	0	24	24	24
Tue Nov 20 08:47:12 2012	1353368832	0	24	24	24
Tue Nov 20 08:47:12 2012	1353368832	0	24	24	24
Tue Nov 20 08:47:12 2012	1353368832	0	24	24	24
Tue Nov 20 08:47:10 2012	1353368830	0	24	24	24
Tue Nov 20 08:47:12 2012	1353368832	0	24	24	24
Tue Nov 20 08:47:12 2012	1353368832	0	25	25	25
Tue Nov 20 08:47:12 2012	1353368832	0	25	25	25
Tue Nov 20 08:47:12 2012	1353368832	0	25	25	25
Tue Nov 20 08:47:12 2012	1353368832	0	25	25	25
Tue Nov 20 08:47:12 2012	1353368832	0	25	25	25
Tue Nov 20 08:47:12 2012	1353368832	0	26	26	26
Tue Nov 20 08:47:10 2012	1353368830	0	26	26	26
Tue Nov 20 08:47:10 2012	1353368830	0	26	26	26
Tue Nov 20 08:47:10 2012	1353368830	0	26	26	26
Tue Nov 20 08:47:10 2012	1353368830	0	26	26	26
Tue Nov 20 08:47:10 2012	1353368830	0	26	26	26
Tue Nov 20 08:47:11 2012	1353368831	0	26	26	26
Tue Nov 20 08:47:11 2012	1353368831	0	27	27	27
Tue Nov 20 08:47:11 2012	1353368831	0	28	28	28
Tue Nov 20 08:47:11 2012	1353368831	0	28	28	28
Tue Nov 20 08:47:07 2012	1353368827	0	31	31	31
Tue Nov 20 08:47:07 2012	1353368827	0	31	31	31
Tue Nov 20 08:47:07 2012	1353368827	0	31	31	31
Tue Nov 20 08:47:11 2012	1353368831	0	32	32	32
Tue Nov 20 08:47:12 2012	1353368832	0	32	32	32
Tue Nov 20 08:47:11 2012	1353368831	0	32	32	32
Tue Nov 20 08:47:12 2012	1353368832	0	32	32	32
Tue Nov 20 08:47:12 2012	1353368832	0	32	32	32
Tue Nov 20 08:47:11 2012	1353368831	0	33	33	33
Tue Nov 20 08:47:10 2012	1353368830	0	33	33	33
Tue Nov 20 08:47:10 2012	1353368830	0	33	33	33
Tue Nov 20 08:47:10 2012	1353368830	0	33	33	33
Tue Nov 20 08:47:10 2012	1353368830	0	33	33	33
Tue Nov 20 08:47:10 2012	1353368830	0	33	33	33
Tue Nov 20 08:47:10 2012	1353368830	0	33	33	33
Tue Nov 20 08:47:12 2012	1353368832	0	34	34	33
Tue Nov 20 08:47:10 2012	1353368830	0	34	34	34
Tue Nov 20 08:47:07 2012	1353368827	0	34	34	34
Tue Nov 20 08:47:07 2012	1353368827	0	34	34	34
Tue Nov 20 08:47:12 2012	1353368832	0	34	34	34
Tue Nov 20 08:47:05 2012	1353368825	0	34	34	34
Tue Nov 20 08:47:05 2012	1353368825	0	34	34	34
Tue Nov 20 08:47:10 2012	1353368830	0	34	34	34
Tue Nov 20 08:47:10 2012	1353368830	0	34	34	34
Tue Nov 20 08:47:10 2012	1353368830	0	35	35	35
Tue Nov 20 08:47:10 2012	1353368830	0	35	35	35
Tue Nov 20 08:47:10 2012	1353368830	0	35	35	35
Tue Nov 20 08:47:08 2012	1353368828	0	35	35	35
Tue Nov 20 08:47:05 2012	1353368825	0	35	35	35
Tue Nov 20 08:47:08 2012	1353368828	0	36	36	36
Tue Nov 20 08:47:10 2012	1353368830	0	36	36	36
Tue Nov 20 08:47:08 2012	1353368828	0	36	36	36
Tue Nov 20 08:47:10 2012	1353368830	0	36	36	36
Tue Nov 20 08:47:08 2012	1353368828	0	36	36	36
Tue Nov 20 08:47:08 2012	1353368828	0	36	36	36
Tue Nov 20 08:47:08 2012	1353368828	0	36	36	36
Tue Nov 20 08:47:08 2012	1353368828	0	36	36	36
Tue Nov 20 08:47:08 2012	1353368828	0	38	38	38
Tue Nov 20 08:47:08 2012	1353368828	0	38	38	38
Tue Nov 20 08:47:08 2012	1353368828	0	38	38	38
Tue Nov 20 08:47:04 2012	1353368824	0	39	39	39
Tue Nov 20 08:47:04 2012	1353368824	0	39	39	39
Tue Nov 20 08:47:04 2012	1353368824	0	39	39	39
Tue Nov 20 08:47:08 2012	1353368828	0	39	39	39
Tue Nov 20 08:47:04 2012	1353368824	0	39	39	39
Tue Nov 20 08:47:08 2012	1353368828	0	39	39	39
Tue Nov 20 08:47:04 2012	1353368824	0	39	39	39
